"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11820","Test search patient @positive @patient","firefox","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","58575","Test delete patient @positive @patient","firefox","2026-05-15","failed","2026-05-15","Patient Management","","",""
"","11812","Test search patient @positive @patient","chromium","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","16324","Test update patient details @positive @patient","firefox","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","3812","Test invalid input (date, numeric field) @negative @patient","webkit","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","14831","Test delete patient @positive @patient","chromium","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","4590","Test required field validation @negative @patient","webkit","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","9990","Test search patient @positive @patient","webkit","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","4908","Test invalid input (date, numeric field) @negative @patient","chromium","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","12319","Test create new patient @positive @patient","webkit","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","58644","Test create new patient @positive @patient","firefox","2026-05-15","failed","2026-05-15","Patient Management","","",""
"","13356","Test update patient details @positive @patient","webkit","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","12867","Test update patient details @positive @patient","chromium","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","6781","Test required field validation @negative @patient","firefox","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","8182","Test create new patient @positive @patient","chromium","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","4061","Test invalid input (date, numeric field) @negative @patient","firefox","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","5190","Test required field validation @negative @patient","chromium","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","60294","Test delete patient @positive @patient","webkit","2026-05-15","broken","2026-05-15","Patient Management","","",""
